query,function,identifier,url,score
replace in file,"def replace_file(from_file, to_file):
    """"""
    Replaces to_file with from_file
    """"""
    try:
        os.remove(to_file)
    except OSError:
        pass
    copy(from_file, to_file)",replace_file,https://github.com/CI-WATER/gsshapy/blob/00fd4af0fd65f1614d75a52fe950a04fb0867f4c/gsshapy/modeling/framework.py#L29-L37,1.211595
replace in file,"def apply_to_keypoint(self, keypoint, scale=0, **params):
        return F.keypoint_scale(keypoint, scale, scale)",RandomScale.apply_to_keypoint,https://github.com/albu/albumentations/blob/b31393cd6126516d37a84e44c879bd92c68ffc93/albumentations/augmentations/transforms.py#L413-L414,1.2102151
replace in file,"def normpath(path: Optional[str]) -> Optional[str]:
    """""" Normalizes the path, returns None if the argument is None """"""
    if path is not None:
        return os.path.normpath(path)",normpath,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin/blob/f5693418b71a0849c5fee3b3307e117983c4e2d8/mkdocs_awesome_pages_plugin/utils.py#L31-L34,1.2060053
replace in file,"def ReplaceInFile(filename, old, new, encoding=None):
    '''
    Replaces all occurrences of ""old"" by ""new"" in the given file.

    :param unicode filename:
        The name of the file.

    :param unicode old:
        The string to search for.

    :param unicode new:
        Replacement string.

    :return unicode:
        The new contents of the file.
    '''
    contents = GetFileContents(filename, encoding=encoding)
    contents = contents.replace(old, new)
    CreateFile(filename, contents, encoding=encoding)
    return contents",ReplaceInFile,https://github.com/zerotk/easyfs/blob/140923db51fb91d5a5847ad17412e8bce51ba3da/zerotk/easyfs/_easyfs.py#L1117-L1136,1.2028744
replace in file,"def normpath(path):
    """"""Normalize a path.

    Expands ~'s, resolves relative paths, normalizes and returns
    an absolute path.
    """"""
    return os.path.abspath(os.path.normpath(os.path.expanduser(path)))",normpath,https://github.com/samstav/requests-chef/blob/a0bf013b925abd0cf76eeaf6300cf32659632773/requests_chef/mixlib_auth.py#L51-L57,1.2017972
replace in file,"def normalizeFilename(filename):
    """"""Take a given filename and return the normalized version of it.
    Where ~/ is expanded to the full OS specific home directory and all
    relative path elements are resolved.
    """"""
    result = os.path.expanduser(filename)
    result = os.path.abspath(result)
    return result",normalizeFilename,https://github.com/bear/bearlib/blob/30f9b8ba4b7a8db4cd2f4c6e07966ae51d0a00dd/bearlib/tools.py#L13-L20,1.2010407
replace in file,"def _replace_invalid_characters(filepath):
	for char in CHARACTER_REPLACEMENTS:
		filepath = filepath.replace(char, CHARACTER_REPLACEMENTS[char])

	return filepath",_replace_invalid_characters,https://github.com/thebigmunch/google-music-utils/blob/2e8873defe7d5aab7321b9d5ec8a80d72687578e/src/google_music_utils/misc.py#L12-L16,1.2000371
replace in file,"def replace(self, ):
        """"""Replace the current reftrack

        :returns: None
        :rtype: None
        :raises: None
        """"""
        tfi = self.get_taskfileinfo_selection()
        if tfi:
            self.reftrack.replace(tfi)",ReftrackWidget.replace,https://github.com/JukeboxPipeline/jukebox-core/blob/bac2280ca49940355270e4b69400ce9976ab2e6f/src/jukeboxcore/gui/widgets/reftrackwidget.py#L402-L411,1.1980445
replace in file,"def apply_to_keypoint(self, keypoint, factor=0, **params):
        return F.keypoint_rot90(keypoint, factor, **params)",RandomRotate90.apply_to_keypoint,https://github.com/albu/albumentations/blob/b31393cd6126516d37a84e44c879bd92c68ffc93/albumentations/augmentations/transforms.py#L333-L334,1.1974099
replace in file,"def apply_to_keypoint(self, keypoint, angle=0, **params):
        return F.keypoint_rotate(keypoint, angle, **params)",Rotate.apply_to_keypoint,https://github.com/albu/albumentations/blob/b31393cd6126516d37a84e44c879bd92c68ffc93/albumentations/augmentations/transforms.py#L376-L377,1.1967813
k means clustering,"def evaluate(self, x, K, x0, gamma):
        norm = 1 / (gamma * np.pi)

        gamma2 = gamma * gamma

        return K * norm * gamma2 / ((x - x0) * (x - x0) + gamma2)",Cauchy.evaluate,https://github.com/threeML/astromodels/blob/9aac365a372f77603039533df9a6b694c1e360d5/astromodels/functions/priors.py#L297-L302,1.1426219
k means clustering,"def _compare(self,other):
        if self.y < other.y:
            return -1
        elif self.y > other.y:
            return 1
        elif self.x < other.x:
            return -1
        elif self.x > other.x:
            return 1
        else:
            return 0",Site._compare,https://github.com/karimbahgat/Pytess/blob/026d0c6bfc281361d850d9a44af1da6fed45b170/pytess/tesselator.py#L349-L359,1.1389536
k means clustering,"def public_key(self, sk=None):
        self.pk = public_key(sk if sk else self.sk)
        return self.pk",Encryption.public_key,https://github.com/namuyan/nem-ed25519/blob/4f506a5335eb860a4cf1d102f76fcad93f9a55fc/nem_ed25519/base.py#L57-L59,1.1376265
k means clustering,"def scan_forward(bb: Bitboard) -> Iterator[Square]:
    while bb:
        r = bb & -bb
        yield r.bit_length() - 1
        bb ^= r",scan_forward,https://github.com/niklasf/python-chess/blob/d91f986ca3e046b300a0d7d9ee2a13b07610fe1a/chess/__init__.py#L206-L210,1.1375631
k means clustering,"def mf_maximize_forwards(self,scores,args):
        self.stateseq = self._maximize_forwards(scores,args,self.mf_pi_0,self.mf_aBl)",HMMStatesPython.mf_maximize_forwards,https://github.com/mattjj/pyhsmm/blob/a9a39c2bfd539048e35877cb13283552eadc24e2/pyhsmm/internals/hmm_states.py#L563-L564,1.1369416
k means clustering,"def dstationarystate(self, k, param):
        """"""See docs for `Model` abstract base class.""""""
        assert param not in self.distributionparams
        assert param in self.freeparams or param == self.distributedparam
        ds = self._models[k].dstationarystate(param)
        return ds",GammaDistributedModel.dstationarystate,https://github.com/jbloomlab/phydms/blob/9cdebc10bafbe543c552d79486c7f950780ed3c0/phydmslib/models.py#L2218-L2223,1.1356455
k means clustering,"def _serialize_key(self, key1_key2):
        assert type(key1_key2) == tuple and len(key1_key2) == 2
        key1, key2 = key1_key2

        assert isinstance(key1, np.datetime64)
        assert isinstance(key2, uuid.UUID)

        return key1.tobytes() + key2.bytes",_TimestampUuidKeysMixin._serialize_key,https://github.com/crossbario/zlmdb/blob/577e8ce9314484f1fd5092fb4eef70221bb1d030/zlmdb/_types.py#L325-L332,1.1354785
k means clustering,"def rsa_eq(key1, key2):
    """"""
    Only works for RSAPublic Keys

    :param key1:
    :param key2:
    :return:
    """"""
    pn1 = key1.public_numbers()
    pn2 = key2.public_numbers()
    # Check if two RSA keys are in fact the same
    if pn1 == pn2:
        return True
    else:
        return False",rsa_eq,https://github.com/openid/JWTConnect-Python-CryptoJWT/blob/8863cfbfe77ca885084870b234a66b55bd52930c/src/cryptojwt/jwk/rsa.py#L117-L131,1.1350244
k means clustering,"def adj_D2(self):
        return 1.0 - (float(self.n) - 1.0) / \
            (float(self.n) - float(self.k)) * (1.0 - self.D2)",GLMResults.adj_D2,https://github.com/pysal/spglm/blob/1339898adcb7e1638f1da83d57aa37392525f018/spglm/glm.py#L387-L389,1.1344721
k means clustering,"def substitute_any_type(self, basic_types: Set[BasicType]) -> List[Type]:
        basic_first_types = basic_types if self.first.first == ANY_TYPE else {self.first.first}
        basic_second_types = basic_types if self.first.second == ANY_TYPE else {self.first.second}
        substitutions = []
        for first_type in basic_first_types:
            for second_type in basic_second_types:
                substituted_first = ComplexType(first_type, second_type)
                substituted_second = ComplexType(second_type, first_type)
                substitutions.append(ReverseType(substituted_first, substituted_second))
        return substitutions",ReverseType.substitute_any_type,https://github.com/allenai/allennlp/blob/648a36f77db7e45784c047176074f98534c76636/allennlp/semparse/type_declarations/wikitables_lambda_dcs.py#L56-L65,1.1344014
connect to sql,"def connection(connection, without_connection_test):
    """"""Set MySQL/MariaDB connection""""""
    database.set_connection(connection=connection)

    if not without_connection_test:
        test_connection(connection)",connection,https://github.com/cebel/pyuniprot/blob/9462a6042c7c9295415a5eb589b77b27cb7c142b/src/pyuniprot/cli.py#L108-L113,1.1670909
connect to sql,"def connect_to_database(host=None, port=None, connect=False, **kwargs):
    """"""
    Explicitly begins a database connection for the application
    (if this function is not called, a connection is created when
    it is first needed).  Takes arguments identical to
    pymongo.MongoClient.__init__
    
    @param host: the hostname to connect to
    @param port: the port to connect to
    @param connect:  if True, immediately begin connecting to MongoDB in the
        background; otherwise connect on the first operation
    """"""
    return CONNECTION.connect(host=host, port=port, connect=connect, **kwargs)",connect_to_database,https://github.com/zagaran/mongolia/blob/82c499345f0a8610c7289545e19f5f633e8a81c0/mongolia/mongo_connection.py#L95-L107,1.164051
connect to sql,"def connect(self, *args, **kwargs):
        """"""
        Connect to a sqlite database only if no connection exists. Isolation level
        for the connection is automatically set to autocommit
        """"""
        self.db = sqlite3.connect(*args, **kwargs)
        self.db.isolation_level = None",Connection.connect,https://github.com/shaunduncan/nosqlite/blob/3033c029b7c8290c66a8b36dc512e560505d4c85/nosqlite.py#L30-L36,1.1635408
connect to sql,"def connect(self):
        self._cursor = None
        return self.DRIVER.connect(*self.connect_args, **self.connect_kwargs)",BaseConnection.connect,https://github.com/instacart/jardin/blob/007e283b9ccd621b60b86679148cacd9eab7c4e3/jardin/database/base.py#L38-L40,1.1631018
connect to sql,"def connect_db(database_name="":memory:""):
    """"""
    Connect lazy_record to the database at the path specified in
    +database_name+.
    """"""
    db = repo.Repo.connect_db(database_name)
    base.Repo.db = db
    query.Repo.db = db",connect_db,https://github.com/ECESeniorDesign/lazy_record/blob/929d3cc7c2538b0f792365c0d2b0e0d41084c2dd/lazy_record/__init__.py#L10-L17,1.1617926
connect to sql,"def connect(self):
        self.connection = MySQLdb.connect(**self.connection_config)
        self.connection.select_db(self.database)
        self.cursor = self.connection.cursor()
        self.execute('SET TRANSACTION ISOLATION LEVEL READ COMMITTED')",CacheBackend.connect,https://github.com/lorien/grab/blob/8b301db2a08c830245b61c589e58af6234f4db79/grab/spider/cache_backend/mysql.py#L54-L58,1.1611981
connect to sql,"def connect(self):
        self.close()
        self._connect = MySQLdb.connect(**self._db_options)
        self._connect.autocommit(True)",MySQLConnection.connect,https://github.com/whiteclover/dbpy/blob/3d9ce85f55cfb39cced22081e525f79581b26b3a/db/mysql/connection.py#L51-L54,1.1608189
connect to sql,"def connect(self):
        self.connection = psycopg2.connect(
            dbname=self.database, **self.connection_config
        )
        self.connection.set_isolation_level(ISOLATION_LEVEL_READ_COMMITTED)
        self.cursor = self.connection.cursor()",CacheBackend.connect,https://github.com/lorien/grab/blob/8b301db2a08c830245b61c589e58af6234f4db79/grab/spider/cache_backend/postgresql.py#L62-L67,1.1606354
connect to sql,"def connect(db, verbose=False, tables=None, columns=None):
    return Database(db, verbose=verbose, tables=tables).query(columns=columns)",connect,https://github.com/paulfitz/catsql/blob/e81632dac2e8407a753bcb7ba2bc5e3b27d8fe8d/catsql/__init__.py#L4-L5,1.160456
connect to sql,"def connect_mysql(host, port, user, password, database):
    """"""Connect to MySQL with retries.""""""
    return pymysql.connect(
        host=host, port=port,
        user=user, passwd=password,
        db=database
    )",connect_mysql,https://github.com/openstack/monasca-common/blob/61e2e00454734e2881611abec8df0d85bf7655ac/docker/mysql_check.py#L109-L115,1.1600436
html encode string,"def html_encode(text):
    """"""
    Encode characters with a special meaning as HTML.

    :param text: The plain text (a string).
    :returns: The text converted to HTML (a string).
    """"""
    text = text.replace('&', '&amp;')
    text = text.replace('<', '&lt;')
    text = text.replace('>', '&gt;')
    text = text.replace('""', '&quot;')
    return text",html_encode,https://github.com/xolox/python-coloredlogs/blob/1cbf0c6bbee400c6ddbc43008143809934ec3e79/coloredlogs/converter/__init__.py#L289-L300,1.1901377
html encode string,"def html(self, html: str) -> None:
        self._html = html.encode(self.encoding)",BaseParser.html,https://github.com/kennethreitz/requests-html/blob/b59a9f2fb9333d7d467154a0fd82978efdb9d23b/requests_html.py#L110-L111,1.1882851
html encode string,"def encode_string(self, string):
        if isinstance(string, unicode):
            string = string.encode('utf-8')
        return string",PasswordUtils.encode_string,https://github.com/LandRegistry/lr-utils/blob/811c9e5c11678a04ee203fa55a7c75080f4f9d89/lrutils/password/password_utils.py#L39-L42,1.1853797
html encode string,"def _encode_string(self, input_str, encoded_bytes):
        encoded_bytes += _VarintBytes(len(input_str))
        encoded_bytes += input_str.encode(UTF8)
        return encoded_bytes",BinarySerializer._encode_string,https://github.com/census-instrumentation/opencensus-python/blob/992b223f7e34c5dcb65922b7d5c827e7a1351e7d/opencensus/tags/propagation/binary_serializer.py#L94-L97,1.1850854
html encode string,"def _encode_string(s):
        """"""Encodes a unicode instance to utf-8. If a str is passed it will
        simply be returned

        :param s: str or unicode to encode
        :returns: encoded output as str
        """"""
        if six.PY2 and isinstance(s, unicode):
            return s.encode('utf-8')
        return s",Client._encode_string,https://github.com/owncloud/pyocclient/blob/b9e1f04cdbde74588e86f1bebb6144571d82966c/owncloud/owncloud.py#L1644-L1653,1.18428
html encode string,"def encode(self, string):
        if self.encoding == ""cp437"":
            return string
        return string.encode(self.encoding)",Symbols.encode,https://github.com/Tenchi2xh/Almonds/blob/6b27024729f055f2cb5e14ae3ca3cb428ae054bc/almonds/cursebox/symbols.py#L70-L73,1.1842641
html encode string,"def html_escape(s, encoding='utf-8', encoding_errors='strict'):
    """""" Return the HTML-escaped version of an input. """"""
    return escape(make_unicode(s, encoding, encoding_errors), quote=True)",html_escape,https://github.com/peterldowns/python-mustache/blob/ea3753696ea9886b6eb39cc5de27db7054adc069/mustache/utils.py#L12-L14,1.1830119
html encode string,"def encode(self):
        if self.html:
            return self.html
        elif self.fig:
            return self.encode2()
        else:
            return self.encode1()",Plot.encode,https://github.com/wdecoster/nanoplotter/blob/80908dd1be585f450da5a66989de9de4d544ec85/nanoplotter/plot.py#L18-L24,1.1830057
html encode string,"def xml_encode(string):
    """""" Returns the string with XML-safe special characters.
    """"""
    string = string.replace(""&"", ""&amp;"")
    string = string.replace(""<"", ""&lt;"")
    string = string.replace("">"", ""&gt;"")
    string = string.replace(""\"""",""&quot;"")
    string = string.replace(SLASH, ""/"")
    return string",xml_encode,https://github.com/markuskiller/textblob-de/blob/1b427b2cdd7e5e9fd3697677a98358fae4aa6ad1/textblob_de/ext/_pattern/text/tree.py#L1253-L1261,1.1829677
html encode string,"def encode_string(string: str) -> bytes:
    data = string.encode(encoding='utf-8')
    data_length = len(data)
    return int_to_bytes(data_length, 2) + data",encode_string,https://github.com/beerfactory/hbmqtt/blob/4aa6fe982141abc3c54e9f4d7b981ab3eba0a13c/hbmqtt/codecs.py#L90-L93,1.1824839
finding time elapsed using a timer,"def elapsed(self, total=True):
        """"""Return the elapsed time for the timer.

        Parameters
        ----------
        total : bool, optional (default True)
          If ``True`` return the total elapsed time since the first
          call of :meth:`start` for the selected timer, otherwise
          return the elapsed time since the most recent call of
          :meth:`start` for which there has not been a corresponding
          call to :meth:`stop`.

        Returns
        -------
        dlt : float
          Elapsed time
        """"""

        return self.timer.elapsed(self.label, total=total)",ContextTimer.elapsed,https://github.com/bwohlberg/sporco/blob/8946a04331106f4e39904fbdf2dc7351900baa04/sporco/util.py#L1438-L1456,1.2913382
finding time elapsed using a timer,"def elapsed(self):
        """"""
        Elapsed time [µs] between start and stop timestamps. If stop is empty then
        returned time is difference between start and current timestamp.
        """"""
        if self._stop is None:
            return timer() - self._start
        return self._stop - self._start",Watcher.elapsed,https://github.com/GPflow/GPflow/blob/549394f0b1b0696c7b521a065e49bdae6e7acf27/gpflow/actions.py#L56-L63,1.285508
finding time elapsed using a timer,"def timestamp(secs, nsecs):
    delta = timedelta(seconds=secs) + timedelta(microseconds=(nsecs / 1000))

    return delta.total_seconds()",timestamp,https://github.com/noxdafox/vminspect/blob/e685282564877e2d1950f1e09b292f4f4db1dbcd/vminspect/timeline.py#L274-L277,1.2842592
finding time elapsed using a timer,"def get_elapsed_time_in_milliseconds(start_time: datetime, end_time: datetime) -> float:
    elapsed_time = end_time - start_time
    return elapsed_time.microseconds / 1000.0 + elapsed_time.seconds * 1000",get_elapsed_time_in_milliseconds,https://github.com/wizeline/relayer/blob/72b579b65d351ee2a006b06b6e72ef3fb3e69758/relayer/utils/__init__.py#L4-L6,1.2833637
finding time elapsed using a timer,"def elapsed(self):
        """"""
        :return: duration in seconds spent in the context.
        :rtype: float
        """"""
        if self.end is None:
            return self() - self.end
        return self.end - self.start",Timer.elapsed,https://github.com/BlueBrain/hpcbench/blob/192d0ec142b897157ec25f131d1ef28f84752592/hpcbench/toolbox/contextlib_ext.py#L80-L87,1.2816567
finding time elapsed using a timer,"def timer(interval, fun, *args, **kwargs):
    return Entry(interval, fun, *args, **kwargs)",timer,https://github.com/celery/cell/blob/c7f9b3a0c11ae3429eacb4114279cf2614e94a48/cell/g/eventlet.py#L62-L63,1.2802476
finding time elapsed using a timer,"def block_time(self, block_num):
        """""" Returns a datetime of the block with the given block
            number.

            :param int block_num: Block number
        """"""
        return self.block_class(block_num, blockchain_instance=self.blockchain).time()",Blockchain.block_time,https://github.com/xeroc/python-graphenelib/blob/8bb5396bc79998ee424cf3813af478304173f3a6/graphenecommon/blockchain.py#L105-L111,1.2799722
finding time elapsed using a timer,"def elapsed(self):
        if self._end_time is None:
            return time.clock() - self._start_time

        return self._end_time - self._start_time",Timer.elapsed,https://github.com/tmr232/awesomelib/blob/69a63466a63679f9e2abac8a719853a5e527219c/awesome/context.py#L98-L102,1.2785732
finding time elapsed using a timer,"def elapsed(self):
        return time.clock() - self.start if self.start and not self.end else self._elapsed",Timer.elapsed,https://github.com/ungarj/mapchete/blob/d482918d0e66a5b414dff6aa7cc854e01fc60ee4/mapchete/_core.py#L801-L802,1.27833
finding time elapsed using a timer,"def elapsed(self):
        """"""Returns the number of seconds it has been since the start until the latest entry.""""""
        if not self.started or self._start_time is None:
            return 0.0
        return self._timing_data[-1][0] - self._start_time",ETA.elapsed,https://github.com/Robpol86/etaprogress/blob/224e8a248c2bf820bad218763281914ad3983fff/etaprogress/eta.py#L83-L87,1.2780838
parse binary file to custom class,"def _parse_file(self, file_obj):
        """"""Directly read from file handler.

        Note that this will move the file pointer.

        """"""
        byte_data = file_obj.read(self.size)
        self._parse_byte_data(byte_data)",DAQPreamble._parse_file,https://github.com/tamasgal/km3pipe/blob/7a9b59ac899a28775b5bdc5d391d9a5340d08040/km3pipe/io/daq.py#L409-L416,1.4183042
parse binary file to custom class,"def parse(cls, buff, byteorder='big'):
        return cls(read_numeric(cls.fmt, buff, byteorder))",Numeric.parse,https://github.com/vberlier/nbtlib/blob/9c9d58b5c4a530b0f1ffd76dda176f00406c3547/nbtlib/tag.py#L225-L226,1.4046836
parse binary file to custom class,"def ReadFileBytesAsUnicode(file_obj):
  data = file_obj.read()
  precondition.AssertType(data, bytes)

  return data.decode(""utf-8"")",ReadFileBytesAsUnicode,https://github.com/google/grr/blob/5cef4e8e2f0d5df43ea4877e9c798e0bf60bfe74/grr/core/grr_response_core/lib/utils.py#L1288-L1292,1.4007374
parse binary file to custom class,"def parse(cls, buf):
        (type_, len_,) = struct.unpack_from(cls._PACK_STR,
                                            six.binary_type(buf), 0)
        rest = buf[len_:]
        return cls(type_=type_, len_=len_), rest",OFPInstructionId.parse,https://github.com/osrg/ryu/blob/6f906e72c92e10bd0264c9b91a2f7bb85b97780c/ryu/ofproto/ofproto_v1_3_parser.py#L5315-L5319,1.3978047
parse binary file to custom class,"def from_file(cls, fileobj):
        data = fileobj.read(cls._struct_size)
        return cls(cls._unpack(data))",Definition.from_file,https://github.com/idlesign/dbf_light/blob/59487bcdf92893a8a4b24239371dc0e4722c4c37/dbf_light/_base.py#L37-L39,1.394592
parse binary file to custom class,"def readinto(self, buff):  #pragma: no cover
        res = self.fp.readinto(buff)
        self.recorder.write_response(buff)
        return res",RecordingStream.readinto,https://github.com/webrecorder/warcio/blob/c64c4394805e13256695f51af072c95389397ee9/warcio/capture_http.py#L54-L57,1.3917302
parse binary file to custom class,"def parse(mhoi, buff):
		t = MinidumpHandleObjectInformation()
		t.InfoType = mhoi.InfoType
		t.SizeOfInfo = mhoi.SizeOfInfo
		t.info_bytes = mhoi.info_bytes
		return t",MinidumpHandleObjectInformation.parse,https://github.com/skelsec/minidump/blob/0c4dcabe6f11d7a403440919ffa9e3c9889c5212/minidump/streams/HandleDataStream.py#L111-L116,1.3897272
parse binary file to custom class,"def parse(cls, fptr, offset, length):
        """"""Parse JPEG 2000 signature box.

        Parameters
        ----------
        fptr : file
            Open file object.
        offset : int
            Start position of box in bytes.
        length : int
            Length of the box in bytes.

        Returns
        -------
        JPEG2000SignatureBox
            Instance of the current JPEG2000 signature box.
        """"""
        read_buffer = fptr.read(4)
        signature = struct.unpack('>BBBB', read_buffer)

        return cls(signature=signature, length=length, offset=offset)",JPEG2000SignatureBox.parse,https://github.com/quintusdias/glymur/blob/8b8fb091130fff00f1028dc82219e69e3f9baf6d/glymur/jp2box.py#L1989-L2009,1.389537
parse binary file to custom class,"def from_file(cls, filepath):
        """"""Alternative constructor to get Torrent object from file.

        :param str filepath:
        :rtype: Torrent
        """"""
        torrent = cls(Bencode.read_file(filepath))
        torrent._filepath = filepath
        return torrent",Torrent.from_file,https://github.com/idlesign/torrentool/blob/78c474c2ecddbad2e3287b390ac8a043957f3563/torrentool/torrent.py#L428-L436,1.3864009
parse binary file to custom class,"def read(cls, file, endianness=""<""):
        bytes = file.read(cls.size)
        return _struct_unpack(endianness + cls.struct_declaration, bytes)[0]",StructType.read,https://github.com/adamreeve/npTDMS/blob/d7d6632d4ebc2e78ed941477c2f1c56bd7493d74/nptdms/types.py#L70-L72,1.3862554
get current ip address,"def GetIPAddresses(self):
    """"""Return a list of IP addresses.""""""
    results = []
    for address in self.addresses:
      human_readable_address = address.human_readable_address
      if human_readable_address is not None:
        results.append(human_readable_address)

    return results",Interface.GetIPAddresses,https://github.com/google/grr/blob/5cef4e8e2f0d5df43ea4877e9c798e0bf60bfe74/grr/core/grr_response_core/lib/rdfvalues/client_network.py#L125-L133,1.2387908
get current ip address,"def get_ip(self):
        if self._ip is None:
            self._ip = self.fetch_ip()
        return self._ip",Instance.get_ip,https://github.com/danielfrg/datasciencebox/blob/6b7aa642c6616a46547035fcb815acc1de605a6f/datasciencebox/core/cloud/instance.py#L80-L83,1.2382183
get current ip address,"def get_ip(self):
        if self._ip is not None:
            ret = self._ip
        else:
            ret = self.ip_addr
        return ret",VNXMoverInterface.get_ip,https://github.com/emc-openstack/storops/blob/24b4b13bf065c0ef0538dd0b5ebb8f25d24176bd/storops/vnx/resource/mover.py#L203-L208,1.2378715
get current ip address,"def get_isp(self, ip):
        ''' Get isp '''
        rec = self.get_all(ip)
        return rec and rec.isp",IP2Location.get_isp,https://github.com/chrislim2888/IP2Location-Python/blob/6b2a7d3a5e61c9f8efda5ae96c7064f9a7714621/IP2Location.py#L145-L148,1.2370883
get current ip address,"def ip_addresses(self):
        """"""
        Access the ip_addresses

        :returns: twilio.rest.api.v2010.account.sip.ip_access_control_list.ip_address.IpAddressList
        :rtype: twilio.rest.api.v2010.account.sip.ip_access_control_list.ip_address.IpAddressList
        """"""
        if self._ip_addresses is None:
            self._ip_addresses = IpAddressList(
                self._version,
                account_sid=self._solution['account_sid'],
                ip_access_control_list_sid=self._solution['sid'],
            )
        return self._ip_addresses",IpAccessControlListContext.ip_addresses,https://github.com/twilio/twilio-python/blob/c867895f55dcc29f522e6e8b8868d0d18483132f/twilio/rest/api/v2010/account/sip/ip_access_control_list/__init__.py#L296-L309,1.2357407
get current ip address,"def get_addresses(self):
        if isinstance(self.address, LCAFAddress):
            return self.address.get_addresses()

        return [self.address]",LCAFInstanceAddress.get_addresses,https://github.com/steffann/pylisp/blob/907340f0c7ef2c4d4fe0c8e0a48df5be0d969407/pylisp/utils/lcaf/instance_address.py#L29-L33,1.2348405
get current ip address,"def get_abook(self, name):
        """"""Get one of the backing abdress books by its name,

        :param name: the name of the address book to get
        :type name: str
        :returns: the matching address book or None
        :rtype: AddressBook or NoneType

        """"""
        for abook in self._abooks:
            if abook.name == name:
                return abook",AddressBookCollection.get_abook,https://github.com/scheibler/khard/blob/0f69430c2680f1ff5f073a977a3c5b753b96cc17/khard/address_book.py#L378-L389,1.2346381
get current ip address,"def GetIPAddresses(self):
    """"""IP addresses from all interfaces.""""""
    result = []
    filtered_ips = [""127.0.0.1"", ""::1"", ""fe80::1""]

    for interface in self.interfaces:
      for address in interface.addresses:
        if address.human_readable_address not in filtered_ips:
          result.append(Text(address.human_readable_address))
    return sorted(result)",ClientSnapshot.GetIPAddresses,https://github.com/google/grr/blob/5cef4e8e2f0d5df43ea4877e9c798e0bf60bfe74/grr/server/grr_response_server/rdfvalues/objects.py#L106-L115,1.2330273
get current ip address,"def get_address_reachability(self, address: Address) -> AddressReachability:
        """""" Return the current reachability state for ``address``. """"""
        return self._address_to_reachability.get(address, AddressReachability.UNKNOWN)",UserAddressManager.get_address_reachability,https://github.com/raiden-network/raiden/blob/407ba15c72074e9de88771d6b9661ff4dc36bef5/raiden/network/transport/matrix/utils.py#L146-L148,1.2324703
get current ip address,"def ip6_address(self):
        """"""Returns the IPv6 address of the network interface.

        If multiple interfaces are provided,
        the address of the first found is returned.

        """"""
        if self._ip6_address is None and self.network is not None:
            self._ip6_address = self._get_ip_address(
                libvirt.VIR_IP_ADDR_TYPE_IPV6)

        return self._ip6_address",SeeContext.ip6_address,https://github.com/F-Secure/see/blob/3e053e52a45229f96a12db9e98caf7fb3880e811/see/context/context.py#L192-L203,1.2319543
convert int to bool,"def is_integer(value: Any) -> bool:
    return isinstance(value, integer_types) and not isinstance(value, bool)",is_integer,https://github.com/ethereum/eth-utils/blob/d9889753a8e016d2fcd64ade0e2db3844486551d/eth_utils/types.py#L13-L14,1.2639552
convert int to bool,"def to_bool(val):
    if not val:
        val = 0
    else:
        try:
            val = int(val)
        except:
            val = 1
    return bool(val)",to_bool,https://github.com/vrasneur/pyfasttext/blob/7c0a14e7fd4c4841847223853f8cf6676cd064bb/setup.py#L12-L20,1.2632737
convert int to bool,"def is_numeric(value):
    # type: (Any) -> bool
    return isinstance(value, int) or \
           isinstance(value, float) or \
           isinstance(value, long)",is_numeric,https://github.com/farzadghanei/statsd-metrics/blob/153ff37b79777f208e49bb9d3fb737ba52b99f98/statsdmetrics/metrics.py#L38-L42,1.2619082
convert int to bool,"def cast(value, _type):
    if _type == ""bool"":
        return bool(value)
    if _type == ""int"":
        return int(value)
    return value",cast,https://github.com/jaumebonet/libconfig/blob/9b34cefcbaf9a326e3f3cd517896c2933cf61a3b/libconfig/evaluator.py#L43-L48,1.2580305
convert int to bool,"def to_bool(value):
    if isinstance(value, bool):
        return value
    elif isinstance(value, numbers.Number):
        return bool(value)
    else:
        raise Exception()",to_bool,https://github.com/cloud4rpi/cloud4rpi/blob/1d7f17c93f7459dc2240421b37bf5c9f6700941f/cloud4rpi/utils.py#L46-L52,1.2553868
convert int to bool,"def convert(value, type):
    if type == ""tinyint"":
        return int(value)
    elif type == ""int"":
        return int(value)
    elif type == ""double"":
        return float(value)
    elif type == ""string"":
        return value
    elif type == ""boolean"":
        return True if value == ""true"" else False
    return None",convert,https://github.com/Kitware/tangelo/blob/470034ee9b3d7a01becc1ce5fddc7adc1d5263ef/tangelo/tangelo/pkgdata/plugin/impala/web/impala.py#L4-L15,1.25517
convert int to bool,"def to_int(value: Any) -> int:
        """"""
        Cast a value as its equivalent int for indy predicate argument. Raise ValueError for any input but
        int, stringified int, or boolean.

        :param value: value to coerce.
        """"""

        if isinstance(value, (bool, int)):
            return int(value)
        return int(str(value))",Predicate.to_int,https://github.com/PSPC-SPAC-buyandsell/von_anchor/blob/78ac1de67be42a676274f4bf71fe12f66e72f309/von_anchor/indytween.py#L111-L121,1.2550435
convert int to bool,"def can_cast_integers(source: Integral, target: Integral, **kwargs) -> bool:
    return target._nbytes >= source._nbytes",can_cast_integers,https://github.com/ibis-project/ibis/blob/1e39a5fd9ef088b45c155e8a5f541767ee8ef2e7/ibis/expr/datatypes.py#L1441-L1442,1.2522916
